Event Name,Image URL,Start Date,Start Time,Genre,Subgenre,Venue,City,Address
UB40,https://s1.ticketm.net/dam/a/433/ce864e58-d935-4a0d-8ea5-1affa098d433_SOURCE,2024-11-26,20:30:00,Rock,Pop,Rockhal Club,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
Vola,https://s1.ticketm.net/dam/a/3f6/9cd12f2d-643f-4793-953f-6ebadcb813f6_RECOMENDATION_16_9.jpg,2024-11-27,19:30:00,Rock,Hard Rock,Rockhal Club,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
Cradle Of Filth,https://s1.ticketm.net/dam/a/496/d8b543b1-e008-4b02-bca9-7f9c04960496_EVENT_DETAIL_PAGE_16_9.jpg,2024-12-02,18:45:00,Rock,Hard Rock,Rockhal Club,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
KREATOR + ANTHRAX,https://s1.ticketm.net/dam/a/7ad/4636b697-0fa7-4e03-beeb-631ffe2767ad_RETINA_PORTRAIT_3_2.jpg,2024-12-03,18:30:00,Rock,Hard Rock,Rockhal Main Hall,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
Within Temptation,https://s1.ticketm.net/dam/a/ed8/4a07ea27-ed38-47c7-a346-698fb7c22ed8_CUSTOM.jpg,2024-12-05,20:00:00,Rock,Hard Rock,Rockhal Box,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
Creedence Clearwater Review - The Green River Tour,https://s1.ticketm.net/dam/a/305/6687d06e-b2eb-4302-9852-35d982e4b305_SOURCE,2024-12-16,20:30:00,Rock,Pop,Rockhal Club,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
"Louis Bertignac ""70 Tour""",https://s1.ticketm.net/dam/a/5dc/bbf754bc-20a3-4519-ad4b-68f3f68645dc_TABLET_LANDSCAPE_3_2.jpg,2025-01-15,20:30:00,Chanson Francaise,Chanson Francaise,Rockhal Club,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
Lacrim,https://s1.ticketm.net/dam/a/fdb/db5c0367-c7a0-4e2a-947f-ec37e458afdb_ARTIST_PAGE_3_2.jpg,2025-01-16,20:30:00,Hip-Hop/Rap,Hip-Hop/Rap,Rockhal Club,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
DAKHABRAKHA,https://s1.ticketm.net/dam/a/f21/76a81fb1-087f-4017-833b-6fbbae1b6f21_EVENT_DETAIL_PAGE_16_9.jpg,2025-01-28,20:30:00,World,World,Rockhal Club,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
GIMS - LDVM Tour,https://s1.ticketm.net/dam/a/7e5/1f95d7a4-1134-401a-9eef-e91ccd58a7e5_RETINA_PORTRAIT_3_2.jpg,2025-02-02,20:00:00,Rock,Pop,Rockhal Main Hall,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
Morad Euro Tour 2025,https://s1.ticketm.net/dam/a/a72/66553b9b-c232-4d48-8c83-ef98ffc06a72_RECOMENDATION_16_9.jpg,2025-02-04,20:00:00,Hip-Hop/Rap,Hip-Hop/Rap,Rockhal Main Hall,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
Caribou,https://s1.ticketm.net/dam/a/51f/6d05ecbf-fb3c-4dc0-94e1-3bf8e5d9651f_TABLET_LANDSCAPE_LARGE_16_9.jpg,2025-02-04,20:30:00,Dance/Electronic,Club Dance,Rockhal Club,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
"Cory Wong ""Winter Tour 2025""",https://s1.ticketm.net/dam/a/582/39df2be8-f151-49a1-b710-c11b9e52e582_RECOMENDATION_16_9.jpg,2025-02-06,20:30:00,Alternative,Alternative Rock,Rockhal Club,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
"Toto ""The Dogz of Oz World Tour 2025""",https://s1.ticketm.net/dam/a/e44/86b5a22d-be8c-4ffc-83d7-f62e07e19e44_CUSTOM.jpg,2025-02-10,20:00:00,Rock,Pop,Rockhal Main Hall,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
